Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Intake Valves Per Cyl2,Exhaust Valves Per Cyl,Fuel injection
MUSTANG,54,2.3,4,6,Manual(M6),24,Turbocharged,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MUSTANG,63,5,8,10,Auto(S10),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MUSTANG,58,5,8,6,Manual(M6),18,Naturally Aspirated,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MUSTANG BULLITT,294,5,8,6,Manual(M6),17,Naturally Aspirated,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MUSTANG CONVERTIBLE,62,2.3,4,10,Auto(S10),23,Turbocharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MUSTANG CONVERTIBLE,61,2.3,4,6,Manual(M6),23,Turbocharged,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MUSTANG CONVERTIBLE,64,5,8,10,Auto(S10),18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MUSTANG HO CONVERTIBLE,440,2.3,4,10,Auto(S10),23,Turbocharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MUSTANG HO CONVERTIBLE,443,2.3,4,6,Manual(M6),22,Turbocharged,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MUSTANG HO COUPE,314,2.3,4,10,Auto(S10),23,Turbocharged,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MUSTANG HO COUPE,442,2.3,4,6,Manual(M6),23,Turbocharged,N,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
SHELBY GT350 MUSTANG,60,5.2,8,6,Manual(M6),16,Naturally Aspirated,N,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
SHELBY GT500 MUSTANG,183,5.2,8,7,Auto(AM7),14,Supercharged,N,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
Q60,136,3,6,7,Auto(S7),22,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Q60 AWD,233,3,6,7,Auto(S7),22,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Q60 AWD RED SPORT,230,3,6,7,Auto(S7),21,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Q60 RED SPORT,138,3,6,7,Auto(S7),22,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
LC 500,50,5,8,10,Auto(S10),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
LC 500h,62,3.5,6,10,Auto(AV-S10),30,Naturally Aspirated,N,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
RC 300,81,2,4,8,Auto(S8),24,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
RC 300 AWD,78,3.5,6,6,Auto(S6),21,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
RC 350,79,3.5,6,8,Auto(S8),23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
RC 350 AWD,80,3.5,6,6,Auto(S6),21,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
RC F,8,5,8,8,Auto(S8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
A 220,162,2,4,7,Auto(A7),28,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
A 220 4MATIC,160,2,4,7,Auto(A7),28,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG A 35 4MATIC,180,2,4,7,Auto(AM7),27,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG C 43 4MATIC (convertible),314,3,6,9,Auto(A9),21,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG C 43 4MATIC (coupe),313,3,6,9,Auto(A9),22,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG C 63 (convertible),115,4,8,9,Auto(A9),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG C 63 (coupe),117,4,8,9,Auto(A9),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG C 63 S (convertible),114,4,8,9,Auto(A9),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG C 63 S (coupe),116,4,8,9,Auto(A9),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG E 53 4MATIC+ (Convertible),141,3,6,9,Auto(A9),23,Other,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG E 53 4MATIC+ (Coupe),133,3,6,9,Auto(A9),23,Other,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG S 63 4MATIC+ (convertible),325,4,8,9,Auto(A9),18,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
C 300 (convertible),128,2,4,9,Auto(A9),24,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
C 300 (Coupe),118,2,4,9,Auto(A9),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
C 300 4MATIC (convertible),127,2,4,9,Auto(A9),24,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
C 300 4MATIC (Coupe),119,2,4,9,Auto(A9),25,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
E 450 (convertible),143,3,6,9,Auto(A9),23,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
E 450 (coupe),134,3,6,9,Auto(A9),23,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
E 450 4MATIC (convertible),144,3,6,9,Auto(A9),22,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
E 450 4MATIC (coupe),135,3,6,9,Auto(A9),22,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
S 560 (convertible),324,4,8,9,Auto(A9),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
COOPER HARDTOP 2 DOOR,32,1.5,3,7,Auto(AM-S7),31,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COOPER HARDTOP 4 DOOR,34,1.5,3,7,Auto(AM-S7),31,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COOPER S HARDTOP 2 DOOR,54,2,4,7,Auto(AM-S7),30,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COOPER S HARDTOP 4 DOOR,56,2,4,7,Auto(AM-S7),30,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
JOHN COOPER WORKS HARDTOP,84,2,4,8,Auto(S8),29,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
GT-R,71,3.8,6,6,Auto(AM-S6),18,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
Roush Stage 3 Mustang,2,5,8,10,Auto(S10),14,Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
Roush Stage 3 Mustang,1,5,8,6,Manual(M6),15,Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
ILX,50,2.4,4,8,Auto(AM-S8),28,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TLX AWD,5,3.5,6,9,Auto(S9),23,Naturally Aspirated,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TLX AWD A-SPEC,6,3.5,6,9,Auto(S9),23,Naturally Aspirated,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TLX FWD,1,2.4,4,8,Auto(AM-S8),27,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TLX FWD,3,3.5,6,9,Auto(S9),24,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TLX FWD A-SPEC,2,2.4,4,8,Auto(AM-S8),26,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
TLX FWD A-SPEC,4,3.5,6,9,Auto(S9),23,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A4,32,2,4,7,Auto(AM-S7),30,Turbocharged,N,"2-Wheel Drive, Front",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A4 quattro,52,2,4,7,Auto(AM-S7),27,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S4,34,3,6,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
228i XDRIVE GRAN COUPE,210,2,4,8,Auto(S8),27,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
330i,300,2,4,8,Auto(S8),30,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
330i xDrive,304,2,4,8,Auto(S8),28,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
430i Coupe,400,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
430i Coupe,401,2,4,6,Manual(M6),25,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
430i Gran Coupe,408,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
430i xDrive Coupe,402,2,4,8,Auto(S8),24,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
430i xDrive Gran Coupe,409,2,4,8,Auto(S8),24,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
440i Coupe,410,3,6,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
440i Coupe,411,3,6,6,Manual(M6),22,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
440i Gran Coupe,418,3,6,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
440i xDrive Coupe,412,3,6,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
440i xDrive Coupe,413,3,6,6,Manual(M6),21,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
440i xDrive Gran Coupe,420,3,6,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M235i xDrive,212,2,4,8,Auto(S8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M340i,340,3,6,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M340i xDrive,339,3,6,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M4 Coupe,481,3,6,7,Auto(AM-S7),19,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M4 Coupe,480,3,6,6,Manual(M6),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
M4 Coupe Competition,491,3,6,7,Auto(AM-S7),19,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M4 Coupe Competition,490,3,6,6,Manual(M6),20,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
M4 CS,488,3,6,7,Auto(AM-S7),19,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CT4,131,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT4,125,2.7,4,10,Auto(S10),24,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT4 AWD,130,2,4,8,Auto(S8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT4 AWD,127,2.7,4,10,Auto(S10),23,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT4 V,126,2.7,4,10,Auto(S10),23,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT4 V AWD,128,2.7,4,10,Auto(S10),23,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
SONIC,78,1.4,4,6,Auto(S6),29,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
G70 AWD,1,2,4,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G70 AWD,4,3.3,6,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G70 RWD,2,2,4,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G70 RWD,3,2,4,6,Manual(M6),22,Turbocharged,N,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
G70 RWD,5,3.3,6,8,Auto(S8),20,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 2DR,32,1.5,4,1,Auto(AV),35,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 2DR,31,1.5,4,7,Auto(AV-S7),33,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 2DR,28,1.5,4,6,Manual(M6),30,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 2DR,45,2,4,1,Auto(AV),33,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
CIVIC 2DR,44,2,4,7,Auto(AV-S7),32,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
CIVIC 2DR,43,2,4,6,Manual(M6),29,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Accent,10,1.6,4,1,Auto(AV),36,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Accent,11,1.6,4,6,Manual(M6),33,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Veloster,16,1.6,4,7,Auto(AM7),30,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Veloster,17,1.6,4,6,Manual(M6),29,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Veloster,14,2,4,6,Auto(S6),30,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Veloster,15,2,4,6,Manual(M6),28,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Veloster N,18,2,4,6,Manual(M6),25,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XE,760,2,4,8,Auto(S8),28,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XE 30t,767,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XE AWD,771,2,4,8,Auto(S8),28,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XE AWD 30t,772,2,4,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Rio,26,1.6,4,1,Auto(AV),36,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
GS F,49,5,8,8,Auto(S8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
IS 300,61,2,4,8,Auto(S8),24,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
IS 300 AWD,42,3.5,6,6,Auto(S6),21,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
IS 350,43,3.5,6,8,Auto(S8),23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
IS 350 AWD,44,3.5,6,6,Auto(S6),21,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
UX 250h,90,2,4,6,Auto(AV-S6),42,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
UX 250h AWD,91,2,4,6,Auto(AV-S6),39,Naturally Aspirated,N,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
CX-3 2WD,102,2,4,6,Auto(S6),31,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CX-3 4WD,103,2,4,6,Auto(S6),29,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MAZDA2,202,1.5,4,6,Auto(S6),35,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MAZDA2,201,1.5,4,6,Manual(M6),34,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MAZDA3 4-Door 2WD,306,2.5,4,6,Auto(S6),30,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MAZDA3 4-Door 2WD,305,2.5,4,6,Auto(S6),30,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MAZDA3 4-Door 4WD,307,2.5,4,6,Auto(S6),28,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
AMG C 43 4MATIC,312,3,6,9,Auto(A9),22,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG C 63,108,4,8,9,Auto(A9),21,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG C 63 S,110,4,8,9,Auto(A9),21,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG CLA 35 4MATIC,182,2,4,7,Auto(AM7),25,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG CLA 45 4MATIC,210,2,4,8,Auto(AM8),23,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG CLS 53 4MATIC+,320,3,6,9,Auto(A9),23,Other,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG GT 53 4MATIC+,550,3,6,9,Auto(A9),21,Other,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG GT 63 4MATIC+,530,4,8,9,Auto(A9),17,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG GT 63 S 4MATIC+,531,4,8,9,Auto(A9),17,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG S 63 4MATIC+ (coupe),215,4,8,9,Auto(A9),20,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
C 300,113,2,4,9,Auto(A9),28,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
C 300 4MATIC,106,2,4,9,Auto(A9),26,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CLA 250,240,2,4,7,Auto(AM7),28,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CLA 250 4MATIC,212,2,4,7,Auto(AM7),27,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CLS 450,350,3,6,9,Auto(A9),26,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CLS 450 4MATIC,351,3,6,9,Auto(A9),26,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
S 560 4MATIC (coupe),213,4,8,9,Auto(A9),20,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
MIRAGE,102,1.2,3,1,Auto(AV),39,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MIRAGE,101,1.2,3,5,Manual(M5),36,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MIRAGE G4,104,1.2,3,1,Auto(AV),37,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MIRAGE G4,103,1.2,3,5,Manual(M5),35,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
VERSA,101,1.6,4,1,Auto(AV),35,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
VERSA,102,1.6,4,5,Manual(M5),30,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Dawn,8,6.6,12,8,Auto(S8),14,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
WRX,25,2,4,8,Auto(AV-S8),21,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
WRX,24,2,4,6,Manual(M6),23,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
WRX,26,2.5,4,6,Manual(M6),19,Turbocharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
C-HR,60,2,4,7,Auto(AV-S7),29,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
COROLLA,13,1.8,4,1,Auto(AV),33,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
COROLLA,14,1.8,4,6,Manual(M6),33,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
COROLLA,4,2,4,10,Auto(AV-S10),34,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
COROLLA,11,2,4,6,Manual(M6),32,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
COROLLA HATCHBACK,71,2,4,10,Auto(AV-S10),35,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
