Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Intake Valves Per Cyl2,Exhaust Valves Per Cyl,Fuel injection
MX-5,402,2,4,6,Auto(S6),30,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MX-5,401,2,4,6,Manual(M6),29,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
570S Coupe,1,3.8,8,7,Auto(AM-S7),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
570S Spider,4,3.8,8,7,Auto(AM-S7),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
600LT Spider,6,3.8,8,7,Auto(AM-S7),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
620R Coupe,7,3.8,8,7,Auto(AM-S7),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
720S Coupe,8,4,8,7,Auto(AM-S7),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
720S Spider,9,4,8,7,Auto(AM-S7),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
GT,10,4,8,7,Auto(AM-S7),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Speedtail,11,4,8,7,Auto(AM-S7),15,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
AMG GT (coupe),191,4,8,7,Auto(AM7),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG GT (roadster),234,4,8,7,Auto(AM7),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
