Name,Club,Age,League,Height,Body Type,Market Value (EUR),FIFA Strength Score,Game effort
C. Bakambu,Villarreal CF,26,Spanish Primera Division,182,Normal,22500000,81,Medium
W. Zaha,Crystal Palace,24,English Premier League,180,Lean,22500000,81,High
Bartra,Borussia Dortmund,26,German Bundesliga,184,Lean,18000000,81,High
S. Aurier,Tottenham Hotspur,24,English Premier League,176,Stocky,19000000,81,High
G. Krychowiak,West Bromwich Albion,27,English Premier League,186,Normal,17500000,81,Medium
K. Kampl,RB Leipzig,26,German Bundesliga,178,Lean,20500000,81,High
D. Lovren,Liverpool,27,English Premier League,188,Normal,17500000,81,Medium
Mario Gaspar,Villarreal CF,26,Spanish Primera Division,182,Stocky,18000000,81,High
Marcos Alonso,Chelsea,26,English Premier League,188,Normal,17500000,81,High
M. Götze,Borussia Dortmund,25,German Bundesliga,176,Stocky,22500000,81,Medium
L. Hrádecký,Eintracht Frankfurt,27,German Bundesliga,190,Lean,14500000,81,Medium
Illarramendi,Real Sociedad,27,Spanish Primera Division,179,Normal,18000000,81,Medium
De Marcos,Athletic Club de Bilbao,28,Spanish Primera Division,182,Lean,14000000,81,High
C. Smalling,Manchester United,27,English Premier League,194,Normal,17000000,81,Medium
J. Wilshere,Arsenal,25,English Premier League,172,Normal,22000000,81,Medium
S. Rudy,FC Bayern Munich,27,German Bundesliga,180,Lean,20000000,81,Medium
M. Lanzini,West Ham United,24,English Premier League,167,Normal,24500000,81,Medium
R. Boudebouz,Real Betis Balompié,27,Spanish Primera Division,177,Lean,20500000,81,High
Camacho,VfL Wolfsburg,27,German Bundesliga,183,Lean,18000000,81,Medium
Paulinho,FC Barcelona,28,Spanish Primera Division,181,Lean,17500000,81,High
M. Sakho,Crystal Palace,27,English Premier League,187,Normal,17000000,81,Medium
S. Coleman,Everton,28,English Premier League,177,Normal,14000000,81,High
S. Kjær,Sevilla FC,28,Spanish Primera Division,189,Normal,16000000,81,Low
Adán,Real Betis Balompié,30,Spanish Primera Division,191,Normal,11500000,81,Medium
S. Mignolet,Liverpool,29,English Premier League,193,Normal,12000000,81,Medium
K. Mirallas,Everton,29,English Premier League,182,Lean,17500000,81,High
A. Guardado,Real Betis Balompié,30,Spanish Primera Division,169,Lean,16500000,81,Medium
Raúl García,Athletic Club de Bilbao,30,Spanish Primera Division,184,Normal,17000000,81,High
T. Heaton,Burnley,31,English Premier League,188,Normal,11000000,81,Medium
Gabi,Atlético Madrid,33,Spanish Primera Division,180,Normal,10500000,81,Medium
Moyá,Atlético Madrid,33,Spanish Primera Division,189,Normal,9000000,81,Medium
W. Rooney,Everton,31,English Premier League,176,Stocky,15500000,81,Medium
P. Mertesacker,Arsenal,32,English Premier League,198,Normal,10000000,81,Low
Fernando Torres,Atlético Madrid,33,Spanish Primera Division,186,Normal,11000000,81,Medium
A. Correa,Atlético Madrid,22,Spanish Primera Division,173,Normal,21000000,80,Medium
N. Bentaleb,FC Schalke 04,22,German Bundesliga,187,Lean,19500000,80,Medium
J. Brandt,Bayer 04 Leverkusen,21,German Bundesliga,183,Normal,22000000,80,Medium
K. Demirbay,TSG 1899 Hoffenheim,23,German Bundesliga,182,Lean,19500000,80,High
Samu Castillejo,Villarreal CF,22,Spanish Primera Division,182,Lean,20000000,80,Medium
J. Hector,1. FC Köln,27,German Bundesliga,185,Normal,14000000,80,Medium
E. Can,Liverpool,23,English Premier League,184,Normal,19500000,80,High
Gerard Moreno,RCD Espanyol,25,Spanish Primera Division,180,Normal,19500000,80,High
S. Kolašinac,Arsenal,24,English Premier League,183,Stocky,15500000,80,Medium
Arrizabalaga,Athletic Club de Bilbao,22,Spanish Primera Division,188,Lean,15500000,80,Medium
Leo Baptistao,RCD Espanyol,24,Spanish Primera Division,181,Lean,19000000,80,Medium
M. Nastasic,FC Schalke 04,24,German Bundesliga,188,Normal,16500000,80,Low
Denis Suárez,FC Barcelona,23,Spanish Primera Division,176,Lean,20500000,80,Medium
M. Batshuayi,Chelsea,23,English Premier League,185,Normal,20000000,80,Medium
J. Brooks,VfL Wolfsburg,24,German Bundesliga,193,Normal,17000000,80,Medium
S. Vrsaljko,Atlético Madrid,25,Spanish Primera Division,183,Lean,16000000,80,High
L. Karius,Liverpool,24,English Premier League,189,Normal,14000000,80,Medium
T. Hazard,Borussia Mönchengladbach,24,German Bundesliga,174,Lean,19500000,80,High
K. Volland,Bayer 04 Leverkusen,24,German Bundesliga,179,Stocky,19000000,80,High
P. Hernández,RC Celta de Vigo,30,Spanish Primera Division,185,Lean,13500000,80,High
D. Tadic,Southampton,28,English Premier League,181,Normal,15000000,80,Medium
L. Muriel,Sevilla FC,26,Spanish Primera Division,179,Stocky,18500000,80,High
Pablo Sarabia,Sevilla FC,25,Spanish Primera Division,174,Lean,18500000,80,High
A. Oxlade-Chamberlain,Liverpool,23,English Premier League,175,Stocky,20000000,80,High
J. Guilavogui,VfL Wolfsburg,26,German Bundesliga,188,Lean,15000000,80,Medium
P. Jones,Manchester United,25,English Premier League,185,Normal,14500000,80,Medium
Sergi Enrich,SD Eibar,27,Spanish Primera Division,181,Normal,17500000,80,High
Neto,Valencia CF,27,Spanish Primera Division,190,Lean,10000000,80,Medium
Hugo Mallo,RC Celta de Vigo,26,Spanish Primera Division,173,Normal,15000000,80,High
D. Didavi,VfL Wolfsburg,27,German Bundesliga,180,Normal,17000000,80,Medium
R. Soriano,Villarreal CF,26,Spanish Primera Division,182,Normal,17500000,80,Medium
A. Schürrle,Borussia Dortmund,26,German Bundesliga,184,Lean,17500000,80,High
R. Pereyra,Watford,26,English Premier League,182,Lean,18000000,80,High
K. Vogt,TSG 1899 Hoffenheim,25,German Bundesliga,194,Normal,15000000,80,Medium
F. Orellana,Valencia CF,31,Spanish Primera Division,168,Normal,13000000,80,High
D. Blind,Manchester United,27,English Premier League,180,Normal,13500000,80,Medium
M. Antonio,West Ham United,27,English Premier League,178,Stocky,17500000,80,High
Iturraspe,Athletic Club de Bilbao,28,Spanish Primera Division,187,Lean,14500000,80,High
S. Rondón,West Bromwich Albion,27,English Premier League,186,Stocky,16000000,80,High
Daniel Carriço,Sevilla FC,28,Spanish Primera Division,180,Normal,13500000,80,Medium
M. Schmelzer,Borussia Dortmund,29,German Bundesliga,181,Normal,11000000,80,High
J. McCarthy,Everton,26,English Premier League,180,Normal,14500000,80,Medium
Ganso,Sevilla FC,27,Spanish Primera Division,184,Lean,15500000,80,Medium
D. Welbeck,Arsenal,26,English Premier League,185,Normal,17500000,80,High
Mikel San José,Athletic Club de Bilbao,28,Spanish Primera Division,187,Lean,14500000,80,Medium
M. Darmian,Manchester United,27,English Premier League,182,Lean,13500000,80,Low
C. Benteke,Crystal Palace,26,English Premier League,190,Normal,18000000,80,Medium
I. Traoré,Borussia Mönchengladbach,29,German Bundesliga,171,Lean,14500000,80,High
Sidnei,RC Deportivo de La Coruña,27,Spanish Primera Division,185,Stocky,14500000,80,High
Kiko Casilla,Real Madrid CF,30,Spanish Primera Division,191,Normal,9500000,80,Medium
Nacho Monreal,Arsenal,31,English Premier League,179,Lean,10000000,80,High
S. Bender,Bayer 04 Leverkusen,28,German Bundesliga,185,Lean,13500000,80,Medium
A. Fernández,Atlético Madrid,31,Spanish Primera Division,178,Lean,12500000,80,Medium
Pedro León,SD Eibar,30,Spanish Primera Division,183,Normal,14000000,80,High
K. Boateng,Eintracht Frankfurt,30,German Bundesliga,186,Normal,14500000,80,Medium
S. Romero,Manchester United,30,English Premier League,192,Normal,9500000,80,Medium
D. Wass,RC Celta de Vigo,28,Spanish Primera Division,181,Normal,14500000,80,Medium
E. Lamela,Tottenham Hotspur,25,English Premier League,181,Lean,18500000,80,High
R. Bertrand,Southampton,27,English Premier League,179,Normal,12000000,80,High
G. Cabral,RC Celta de Vigo,31,Spanish Primera Division,182,Normal,10000000,80,Medium
T. Walcott,Arsenal,28,English Premier League,176,Lean,15000000,80,Medium
L. Fabianski,Swansea City,32,English Premier League,190,Normal,8500000,80,Medium
B. Foster,West Bromwich Albion,34,English Premier League,193,Normal,6000000,80,Medium
V. Ibiševic,Hertha BSC Berlin,32,German Bundesliga,188,Normal,12000000,80,Medium
S. Kalou,Hertha BSC Berlin,31,German Bundesliga,184,Lean,13000000,80,Medium
Javi Fuego,RCD Espanyol,33,Spanish Primera Division,182,Normal,6000000,80,Medium
J. Milner,Liverpool,31,English Premier League,175,Stocky,9500000,80,High
P. Jagielka,Everton,34,English Premier League,180,Normal,4500000,80,Medium
J. Defoe,Bournemouth,34,English Premier League,171,Lean,8000000,80,Medium
M. Carrick,Manchester United,35,English Premier League,188,Normal,3500000,80,Low
Oyarzabal,Real Sociedad,20,Spanish Primera Division,181,Lean,18000000,79,High
F. Andone,RC Deportivo de La Coruña,24,Spanish Primera Division,180,Normal,17000000,79,High
V. Lindelöf,Manchester United,22,English Premier League,187,Lean,15000000,79,Medium
C. Lenglet,Sevilla FC,22,Spanish Primera Division,186,Lean,14500000,79,Medium
M. Dahoud,Borussia Dortmund,21,German Bundesliga,177,Lean,18500000,79,High
D. Zappacosta,Chelsea,25,English Premier League,182,Lean,13500000,79,High
K. Coman,FC Bayern Munich,21,German Bundesliga,178,Lean,18000000,79,Medium
Diego Llorente,Real Sociedad,23,Spanish Primera Division,186,Lean,16000000,79,Medium
M. Meyer,FC Schalke 04,21,German Bundesliga,173,Normal,18000000,79,High
Gayà,Valencia CF,22,Spanish Primera Division,172,Lean,14000000,79,High
S. Boufal,Southampton,23,English Premier League,170,Lean,17000000,79,High
L. Vietto,Atlético Madrid,23,Spanish Primera Division,173,Normal,18000000,79,High
M. Arnold,VfL Wolfsburg,23,German Bundesliga,184,Normal,16500000,79,High
S. Gnabry,TSG 1899 Hoffenheim,21,German Bundesliga,175,Normal,18500000,79,High
L. Shaw,Manchester United,21,English Premier League,185,Stocky,14000000,79,High
B. Davies,Tottenham Hotspur,24,English Premier League,182,Normal,13000000,79,Medium
Bernat,FC Bayern Munich,24,German Bundesliga,170,Normal,13500000,79,High
W. Orban,RB Leipzig,24,German Bundesliga,186,Normal,13500000,79,Medium
Rubén Pardo,Real Sociedad,24,Spanish Primera Division,181,Lean,16000000,79,Medium
K. Zouma,Stoke City,22,English Premier League,190,Normal,15000000,79,Medium
C. Kramer,Borussia Mönchengladbach,26,German Bundesliga,191,Lean,13000000,79,High
J. Stones,Manchester City,23,English Premier League,188,Lean,14500000,79,High
F. Fernández,Swansea City,28,English Premier League,189,Normal,10000000,79,Medium
S. Sané,Hannover 96,26,German Bundesliga,196,Lean,12500000,79,Medium
N. Sansone,Villarreal CF,25,Spanish Primera Division,175,Normal,16000000,79,Medium
P. Ntep,VfL Wolfsburg,24,German Bundesliga,180,Stocky,16000000,79,High
J. Murillo,Valencia CF,25,Spanish Primera Division,182,Normal,13500000,79,Medium
Gabriel Paulista,Valencia CF,26,Spanish Primera Division,187,Lean,12500000,79,Low
V. Darida,Hertha BSC Berlin,26,German Bundesliga,171,Lean,14500000,79,High
Cédric,Southampton,25,English Premier League,172,Normal,13000000,79,High
Y. Konoplyanka,FC Schalke 04,27,German Bundesliga,178,Normal,13000000,79,Medium
L. Digne,FC Barcelona,23,Spanish Primera Division,178,Lean,14000000,79,High
Paco Alcácer,FC Barcelona,23,Spanish Primera Division,175,Normal,17500000,79,High
Vicente Gómez,UD Las Palmas,28,Spanish Primera Division,188,Lean,12500000,79,Medium
E. Çolak,RC Deportivo de La Coruña,26,Spanish Primera Division,169,Normal,15500000,79,Medium
J. Guidetti,RC Celta de Vigo,25,Spanish Primera Division,185,Stocky,16500000,79,High
Oriol Romeu,Southampton,25,English Premier League,183,Normal,13000000,79,Medium
Nolito,Sevilla FC,30,Spanish Primera Division,175,Normal,12000000,79,High
B. Martins Indi,Stoke City,25,English Premier League,185,Normal,13500000,79,Medium
M. Gabbiadini,Southampton,25,English Premier League,186,Normal,16500000,79,High
P. Herrmann,Borussia Mönchengladbach,26,German Bundesliga,179,Lean,15000000,79,Medium
F. Lejeune,Newcastle United,26,English Premier League,189,Stocky,13500000,79,Medium
J. Bruma,VfL Wolfsburg,25,German Bundesliga,190,Normal,13500000,79,Medium
Adrián,West Ham United,30,English Premier League,190,Normal,8000000,79,Medium
Keko,Málaga CF,25,Spanish Primera Division,172,Normal,16000000,79,Medium
H. Pérez,RCD Espanyol,28,Spanish Primera Division,180,Normal,12500000,79,High
Jaume Costa,Villarreal CF,29,Spanish Primera Division,171,Normal,9500000,79,High
Escudero,Sevilla FC,27,Spanish Primera Division,176,Lean,10500000,79,High
Y. Malli,VfL Wolfsburg,25,German Bundesliga,179,Lean,15500000,79,Medium
S. Corchia,Sevilla FC,26,Spanish Primera Division,175,Lean,12000000,79,High
Canales,Real Sociedad,26,Spanish Primera Division,180,Lean,15500000,79,High
M. Hitz,FC Augsburg,29,German Bundesliga,192,Normal,8500000,79,Medium
Balenziaga,Athletic Club de Bilbao,29,Spanish Primera Division,177,Normal,9500000,79,High
W. Bony,Swansea City,28,English Premier League,182,Stocky,13000000,79,Medium
Muniain,Athletic Club de Bilbao,24,Spanish Primera Division,169,Normal,17000000,79,High
B. Hübner,TSG 1899 Hoffenheim,27,German Bundesliga,193,Lean,10500000,79,Medium
F. Coquelin,Arsenal,26,English Premier League,178,Normal,12000000,79,Medium
Jonathas,Hannover 96,28,German Bundesliga,190,Normal,13000000,79,Medium
M. Fabián,Eintracht Frankfurt,27,German Bundesliga,168,Normal,13000000,79,High
R. Zieler,VfB Stuttgart,28,German Bundesliga,188,Normal,10000000,79,Medium
D. Drinkwater,Chelsea,27,English Premier League,177,Normal,14000000,79,Medium
K. Papadopoulos,Hamburger SV,25,German Bundesliga,185,Stocky,13500000,79,Low
S. Wagner,TSG 1899 Hoffenheim,29,German Bundesliga,194,Normal,12500000,79,Medium
P. Piatti,RCD Espanyol,28,Spanish Primera Division,163,Normal,12500000,79,High
C. Yacob,West Bromwich Albion,29,English Premier League,181,Lean,10000000,79,Medium
A. Ogbonna,West Ham United,29,English Premier League,191,Lean,10000000,79,High
Roberto,Málaga CF,31,Spanish Primera Division,192,Normal,7500000,79,Medium
N. Amrabat,CD Leganés,30,Spanish Primera Division,181,Normal,12000000,79,High
Antunes,Getafe CF,30,Spanish Primera Division,175,Normal,9000000,79,High
S. Prödl,Watford,30,English Premier League,196,Normal,9500000,79,Medium
F. Johnson,Borussia Mönchengladbach,29,German Bundesliga,183,Normal,12500000,79,Medium
Bojan,Deportivo Alavés,26,Spanish Primera Division,170,Lean,15000000,79,High
M. Fellaini,Manchester United,29,English Premier League,194,Lean,12000000,79,Medium
A. Ayew,West Ham United,27,English Premier League,176,Normal,13000000,79,Medium
D. Ospina,Arsenal,28,English Premier League,183,Normal,9000000,79,Medium
W. Reid,West Ham United,28,English Premier League,190,Normal,11500000,79,Medium
Z. Junuzovic,SV Werder Bremen,29,German Bundesliga,172,Stocky,12000000,79,High
V. Moses,Chelsea,26,English Premier League,177,Normal,12500000,79,Medium
Coke,FC Schalke 04,30,German Bundesliga,177,Normal,9000000,79,High
D. Zurutuza,Real Sociedad,30,Spanish Primera Division,186,Lean,11500000,79,Medium
José Fonte,West Ham United,33,English Premier League,187,Normal,5000000,79,Medium
N. Sahin,Borussia Dortmund,28,German Bundesliga,180,Lean,10000000,79,Medium
R. Shawcross,Stoke City,29,English Premier League,191,Normal,10000000,79,Medium
J. Evans,West Bromwich Albion,29,English Premier League,188,Lean,10000000,79,Medium
Y. Cabaye,Crystal Palace,31,English Premier League,174,Normal,11000000,79,Medium
N. Pareja,Sevilla FC,33,Spanish Primera Division,181,Lean,5000000,79,Medium
D. Abraham,Eintracht Frankfurt,30,German Bundesliga,188,Normal,9500000,79,Medium
M. Krohn-Dehli,Sevilla FC,34,Spanish Primera Division,170,Normal,6500000,79,Medium
Jurado,RCD Espanyol,31,Spanish Primera Division,174,Normal,11000000,79,Medium
Xabi Prieto,Real Sociedad,33,Spanish Primera Division,187,Normal,7500000,79,Medium
P. Zabaleta,West Ham United,32,English Premier League,178,Normal,7000000,79,High
W. Caballero,Chelsea,35,English Premier League,186,Normal,3000000,79,Medium
M. Vorm,Tottenham Hotspur,33,English Premier League,184,Normal,6500000,79,Medium
D. Baier,FC Augsburg,33,German Bundesliga,176,Normal,5000000,79,Medium
Gomes,Watford,36,English Premier League,191,Normal,1700000,79,Medium
R. Adler,1. FSV Mainz 05,32,German Bundesliga,191,Normal,7000000,79,Medium
Joaquín,Real Betis Balompié,35,Spanish Primera Division,179,Normal,5500000,79,High
G. Barry,West Bromwich Albion,36,English Premier League,183,Normal,1700000,79,Medium
Yeray,Athletic Club de Bilbao,22,Spanish Primera Division,183,Normal,12000000,78,Medium
C. Pulisic,Borussia Dortmund,18,German Bundesliga,172,Lean,16500000,78,Medium
N. Radoja,RC Celta de Vigo,24,Spanish Primera Division,186,Normal,13500000,78,High
Jorge Meré,1. FC Köln,20,German Bundesliga,182,Stocky,12000000,78,Medium
Jony,Málaga CF,25,Spanish Primera Division,179,Normal,12500000,78,High
Dani Ceballos,Real Madrid CF,20,Spanish Primera Division,176,Normal,16500000,78,Medium
Pau López,RCD Espanyol,22,Spanish Primera Division,189,Lean,10000000,78,Medium
A. Sanabria,Real Betis Balompié,21,Spanish Primera Division,180,Normal,15500000,78,High
J. Izquierdo,Brighton & Hove Albion,24,English Premier League,171,Normal,13000000,78,High
Rúben Semedo,Villarreal CF,23,Spanish Primera Division,189,Normal,12500000,78,Medium
M. Philipp,Borussia Dortmund,23,German Bundesliga,183,Normal,14000000,78,Medium
Morales,Levante UD,29,Spanish Primera Division,180,Lean,10000000,78,Medium
Capa,SD Eibar,25,Spanish Primera Division,173,Stocky,11500000,78,High
L. Alario,Bayer 04 Leverkusen,24,German Bundesliga,184,Lean,14000000,78,High
D. Origi,VfL Wolfsburg,22,German Bundesliga,185,Normal,15000000,78,High
N. Stark,Hertha BSC Berlin,22,German Bundesliga,190,Lean,12500000,78,Medium
Carles Gil,RC Deportivo de La Coruña,24,Spanish Primera Division,170,Normal,14000000,78,High
Paulo Oliveira,SD Eibar,26,Spanish Primera Division,187,Lean,11000000,78,Medium
A. Szymanowski,CD Leganés,28,Spanish Primera Division,174,Lean,10500000,78,High
K. Wimmer,Stoke City,24,English Premier League,187,Normal,12000000,78,Medium
T. Partey,Atlético Madrid,24,Spanish Primera Division,185,Lean,12000000,78,High
F. Kostic,Hamburger SV,24,German Bundesliga,184,Normal,14000000,78,High
Andreas Pereira,Valencia CF,21,Spanish Primera Division,178,Normal,15500000,78,High
A. Doucouré,Watford,24,English Premier League,182,Lean,12000000,78,High
G. Pizarro,Sevilla FC,27,Spanish Primera Division,186,Lean,10000000,78,Medium
M. Ginter,Borussia Mönchengladbach,23,German Bundesliga,188,Normal,11500000,78,Medium
J. Lingard,Manchester United,24,English Premier League,175,Lean,13000000,78,High
M. Weiser,Hertha BSC Berlin,23,German Bundesliga,176,Lean,12000000,78,High
D. Cheryshev,Villarreal CF,26,Spanish Primera Division,179,Lean,12000000,78,High
Bigas,UD Las Palmas,26,Spanish Primera Division,181,Normal,11000000,78,High
D. Heintz,1. FC Köln,23,German Bundesliga,189,Normal,11500000,78,Medium
J. Ward-Prowse,Southampton,22,English Premier League,173,Normal,15000000,78,Medium
T. Inui,SD Eibar,29,Spanish Primera Division,169,Lean,10000000,78,Medium
M. Sabitzer,RB Leipzig,23,German Bundesliga,177,Normal,13500000,78,High
B. Mendy,Manchester City,22,English Premier League,185,Normal,13000000,78,High
P. Kaderábek,TSG 1899 Hoffenheim,25,German Bundesliga,182,Normal,11000000,78,High
L. Bittencourt,1. FC Köln,23,German Bundesliga,171,Lean,13500000,78,High
J. Vestergaard,Borussia Mönchengladbach,24,German Bundesliga,199,Normal,12000000,78,Medium
Sergi Darder,RCD Espanyol,23,Spanish Primera Division,180,Lean,14000000,78,Medium
D. Demme,RB Leipzig,25,German Bundesliga,170,Normal,11000000,78,Medium
David López,RCD Espanyol,27,Spanish Primera Division,183,Normal,8500000,78,High
G. Kondogbia,Valencia CF,24,Spanish Primera Division,188,Lean,11500000,78,High
A. Mandi,Real Betis Balompié,25,Spanish Primera Division,184,Lean,11500000,78,High
N. Chadli,West Bromwich Albion,27,English Premier League,187,Normal,11000000,78,Medium
M. Uth,TSG 1899 Hoffenheim,25,German Bundesliga,185,Lean,13000000,78,Medium
S. Rode,Borussia Dortmund,26,German Bundesliga,179,Normal,10500000,78,High
Danilo,Manchester City,25,English Premier League,184,Lean,10500000,78,High
C. Aránguiz,Bayer 04 Leverkusen,28,German Bundesliga,171,Lean,10500000,78,Medium
Raúl Navas,Real Sociedad,29,Spanish Primera Division,186,Stocky,9000000,78,Medium
Rodrigo,Valencia CF,26,Spanish Primera Division,182,Lean,13000000,78,High
D. Caligiuri,FC Schalke 04,29,German Bundesliga,182,Lean,10000000,78,Medium
C. Austin,Southampton,27,English Premier League,188,Normal,11000000,78,High
Borja Bastón,Málaga CF,24,Spanish Primera Division,191,Lean,14000000,78,Medium
A. Townsend,Crystal Palace,25,English Premier League,181,Normal,12500000,78,High
G. Burgstaller,FC Schalke 04,28,German Bundesliga,187,Normal,10500000,78,High
T. Delaney,SV Werder Bremen,25,German Bundesliga,182,Normal,13000000,78,High
K. Casteels,VfL Wolfsburg,25,German Bundesliga,197,Normal,9000000,78,Medium
H. Badstuber,VfB Stuttgart,28,German Bundesliga,189,Normal,8500000,78,Medium
M. Plattenhardt,Hertha BSC Berlin,25,German Bundesliga,181,Normal,10500000,78,Medium
Fontàs,RC Celta de Vigo,27,Spanish Primera Division,186,Stocky,10000000,78,Medium
C. Borges,RC Deportivo de La Coruña,29,Spanish Primera Division,182,Normal,8000000,78,High
E. Mangala,Manchester City,26,English Premier League,187,Normal,11000000,78,Medium
Etxeita,Athletic Club de Bilbao,29,Spanish Primera Division,185,Normal,8000000,78,Low
B. Mee,Burnley,27,English Premier League,180,Normal,10000000,78,Medium
J. Baumgartlinger,Bayer 04 Leverkusen,29,German Bundesliga,183,Normal,8000000,78,Medium
Victor Sánchez,RCD Espanyol,29,Spanish Primera Division,174,Normal,8000000,78,Medium
Susaeta,Athletic Club de Bilbao,29,Spanish Primera Division,179,Lean,10000000,78,High
Y. Bolasie,Everton,28,English Premier League,188,Normal,10500000,78,High
J. Montero,Getafe CF,27,Spanish Primera Division,172,Normal,11000000,78,High
K. Trippier,Tottenham Hotspur,26,English Premier League,178,Normal,10000000,78,High
K. Gibbs,West Bromwich Albion,27,English Premier League,179,Lean,8500000,78,High
N. Müller,Hamburger SV,29,German Bundesliga,173,Lean,10000000,78,High
S. Langkamp,Hertha BSC Berlin,29,German Bundesliga,191,Normal,8000000,78,Medium
M. Sissoko,Tottenham Hotspur,27,English Premier League,187,Normal,11000000,78,Medium
F. Bartels,SV Werder Bremen,30,German Bundesliga,176,Lean,10000000,78,High
R. Bobadilla,Borussia Mönchengladbach,30,German Bundesliga,181,Stocky,10000000,78,High
T. Deeney,Watford,29,English Premier League,183,Stocky,10500000,78,High
A. Carroll,West Ham United,28,English Premier League,193,Normal,10500000,78,Medium
J. Holebas,Watford,33,English Premier League,185,Normal,4000000,78,High
Ki Sung Yueng,Swansea City,28,English Premier League,186,Lean,10500000,78,Medium
Mosquera,RC Deportivo de La Coruña,29,Spanish Primera Division,184,Lean,8000000,78,Medium
Granero,RCD Espanyol,29,Spanish Primera Division,180,Normal,10000000,78,Medium
P. Baysse,Málaga CF,29,Spanish Primera Division,185,Normal,8000000,78,Medium
S. Defour,Burnley,29,English Premier League,175,Normal,10000000,78,Medium
J. Cork,Burnley,28,English Premier League,185,Normal,10500000,78,Medium
Javi García,Real Betis Balompié,30,Spanish Primera Division,186,Normal,7500000,78,Medium
A. Finnbogason,FC Augsburg,28,German Bundesliga,185,Normal,9000000,77,Medium
Juanmi,Real Sociedad,24,Spanish Primera Division,172,Lean,12500000,77,Medium
N. Subotic,Borussia Dortmund,28,German Bundesliga,191,Lean,7000000,77,Medium
P. De Blasis,1. FSV Mainz 05,29,German Bundesliga,166,Normal,8500000,77,High
M. Phillips,West Bromwich Albion,26,English Premier League,183,Normal,10500000,77,Medium
Iván Ramis,SD Eibar,32,Spanish Primera Division,188,Normal,5000000,77,Medium
Portu,Girona CF,25,Spanish Primera Division,178,Stocky,11500000,77,Medium
E. Choupo-Moting,Stoke City,28,English Premier League,191,Normal,9000000,77,Medium
Jesé,Stoke City,24,English Premier League,178,Normal,11500000,77,Medium
Luís Hernández,Málaga CF,28,Spanish Primera Division,182,Lean,8000000,77,Medium
Jonny,RC Celta de Vigo,23,Spanish Primera Division,175,Stocky,10000000,77,High
D. Bonera,Villarreal CF,36,Spanish Primera Division,183,Normal,1200000,77,Low
G. McAuley,West Bromwich Albion,37,English Premier League,191,Lean,1200000,77,Low
A. Halilovic,UD Las Palmas,21,Spanish Primera Division,170,Lean,13000000,77,High
N. Amiri,TSG 1899 Hoffenheim,20,German Bundesliga,180,Lean,13000000,77,Medium
A. Carrillo,Watford,26,English Premier League,181,Normal,10500000,77,High
O. Duarte,RCD Espanyol,28,Spanish Primera Division,186,Normal,7000000,77,Medium
Jozabed,RC Celta de Vigo,26,Spanish Primera Division,180,Normal,11000000,77,Medium
Pacheco,Deportivo Alavés,25,Spanish Primera Division,186,Normal,8000000,77,Medium
O. Wendt,Borussia Mönchengladbach,31,German Bundesliga,181,Normal,6000000,77,Medium
E. Durm,Borussia Dortmund,25,German Bundesliga,183,Lean,9000000,77,High
M. Risse,1. FC Köln,27,German Bundesliga,183,Normal,9500000,77,Medium
Jordi Amat,Real Betis Balompié,25,Spanish Primera Division,185,Normal,10500000,77,Low
B. Stambouli,FC Schalke 04,26,German Bundesliga,180,Normal,9000000,77,Low
A. Rukavina,Villarreal CF,33,Spanish Primera Division,177,Normal,3400000,77,High
Sergio León,Real Betis Balompié,28,Spanish Primera Division,178,Normal,9000000,77,High
M. Elneny,Arsenal,24,English Premier League,180,Lean,10000000,77,Medium
D. Torres,Deportivo Alavés,27,Spanish Primera Division,183,Normal,8500000,77,Medium
S. Okazaki,Leicester City,31,English Premier League,173,Normal,8000000,77,High
N. Redmond,Southampton,23,English Premier League,173,Lean,13000000,77,High
L. Rémy,UD Las Palmas,30,Spanish Primera Division,185,Lean,8500000,77,Medium
M. Lemina,Southampton,23,English Premier League,184,Normal,12000000,77,Medium
Iraizoz,Girona CF,36,Spanish Primera Division,191,Normal,1200000,77,Medium
Y. Osako,1. FC Köln,27,German Bundesliga,182,Lean,10500000,77,Medium
J. King,Bournemouth,25,English Premier League,180,Normal,11500000,77,Medium
A. Meier,Eintracht Frankfurt,34,German Bundesliga,196,Normal,4700000,77,Low
G. Nkoudou,Tottenham Hotspur,22,English Premier League,175,Lean,12000000,77,High
Montoya,Valencia CF,26,Spanish Primera Division,175,Lean,9000000,77,High
M. Zárate,Watford,30,English Premier League,176,Normal,8500000,77,Medium
M. Albrighton,Leicester City,27,English Premier League,175,Lean,9500000,77,High
A. Gray,Watford,26,English Premier League,180,Normal,11000000,77,High
M. Ryan,Brighton & Hove Albion,25,English Premier League,184,Stocky,8000000,77,Medium
Yoel,SD Eibar,28,Spanish Primera Division,185,Normal,6000000,77,Medium
T. Krul,Brighton & Hove Albion,29,English Premier League,188,Lean,7000000,77,Medium
J. Geis,Sevilla FC,23,Spanish Primera Division,181,Normal,9500000,77,Low
P. Verhaegh,VfL Wolfsburg,33,German Bundesliga,178,Normal,3400000,77,Medium
H. Nordtveit,TSG 1899 Hoffenheim,27,German Bundesliga,188,Normal,8500000,77,Medium
M. Hasebe,Eintracht Frankfurt,33,German Bundesliga,180,Lean,3600000,77,Medium
Y. Muto,1. FSV Mainz 05,24,German Bundesliga,179,Lean,12000000,77,High
J. Córdoba,1. FC Köln,24,German Bundesliga,185,Stocky,12000000,77,High
