Name,Club,Age,League,Height,Body Type,Market Value (EUR),FIFA Strength Score,Game effort
N. Trott,West Ham United,18,English Premier League,184,Lean,170000,57,Medium
M. Nicolas,Borussia Mönchengladbach,19,German Bundesliga,193,Normal,160000,56,Medium
M. Foulds,Everton,19,English Premier League,183,Lean,170000,56,Medium
D. Sauerland,Borussia Dortmund,20,German Bundesliga,180,Lean,160000,56,Medium
Y. Ben El-Mhanni,Newcastle United,21,English Premier League,178,Normal,140000,56,Medium
M. Bulka,Chelsea,17,English Premier League,198,Lean,150000,56,Medium
A. Palmer,West Bromwich Albion,20,English Premier League,183,Normal,110000,56,Medium
M. Wood,Manchester City,19,English Premier League,176,Lean,170000,56,Medium
P. Dárdai,Hertha BSC Berlin,18,German Bundesliga,175,Lean,190000,56,Medium
K. Sterling,Tottenham Hotspur,18,English Premier League,180,Normal,190000,56,Medium
J. Holmes,Bournemouth,20,English Premier League,188,Stocky,160000,55,Medium
P. Fritsch,Borussia Dortmund,18,German Bundesliga,184,Normal,160000,55,Medium
E. Pierce,West Bromwich Albion,18,English Premier League,183,Lean,180000,55,Medium
A. Connolly,Brighton & Hove Albion,17,English Premier League,176,Normal,180000,55,Medium
D. Smarsch,Hertha BSC Berlin,18,German Bundesliga,195,Normal,150000,55,Medium
A. Wan-Bissaka,Crystal Palace,19,English Premier League,183,Lean,190000,55,Medium
T. Akinola,West Ham United,18,English Premier League,187,Lean,90000,54,Low
R. Nabi,Burnley,18,English Premier League,178,Normal,100000,54,Medium
K. Metz,Burnley,19,English Premier League,180,Lean,100000,54,Medium
M. Howarth,Burnley,18,English Premier League,178,Lean,110000,54,Medium
O. Bayode,Burnley,18,English Premier League,178,Lean,90000,54,Medium
J. Lokilo,Crystal Palace,18,English Premier League,172,Lean,140000,54,Medium
M. Waddington,Stoke City,20,English Premier League,183,Lean,100000,54,Medium
B. Scott,1. FC Köln,18,German Bundesliga,180,Normal,110000,54,Medium
T. Ryan,Huddersfield Town,20,English Premier League,181,Normal,120000,54,Medium
D. Hutchinson,Brighton & Hove Albion,20,English Premier League,173,Lean,130000,53,Medium
R. Edmonds-Green,Huddersfield Town,18,English Premier League,181,Lean,110000,53,Medium
D. Kane,Huddersfield Town,20,English Premier League,186,Lean,120000,53,Medium
R. Booty,Huddersfield Town,19,English Premier League,180,Lean,80000,53,Medium
R. Schofield,Huddersfield Town,17,English Premier League,190,Lean,110000,53,Medium
J. Davenport,Manchester City,18,English Premier League,177,Normal,110000,53,Medium
B. House,West Bromwich Albion,18,English Premier League,185,Normal,100000,53,Medium
J. Boyle,Huddersfield Town,19,English Premier League,168,Lean,110000,52,Medium
N. Husin,Crystal Palace,20,English Premier League,177,Lean,60000,50,Medium
